ts 	 trial # 	 led 	 alpha 	 gamma 	 theta 	 target_pos 	 center_pos 	 pointer_pt
70.84915084915085	1	False	41.376820947458185	67.15029900653369	40.03856752411653	[ 861.78782311 -204.22960042]	[313.55529785 278.35201009]	[347.60217285 197.68792725]
70.9090909090909	1	False	41.39384217023845	66.3318771760246	40.06716480834235	[ 861.57102748 -204.48748379]	[313.47705078 278.26108805]	[348.62040202 198.20894368]
70.96903096903097	1	False	None	None	40.0470158454684	[ 861.7237899  -204.30579659]	None	None
71.02897102897103	1	False	None	None	40.10282416285086	[ 861.30051411 -204.80889955]	None	None
71.08891108891109	1	False	41.4250669530475	63.82439336503664	40.11257165476032	[ 861.22653441 -204.89672931]	[313.26096598 278.26902262]	[351.84204102 199.88942464]
71.14885114885115	1	False	41.413290733143526	63.056437635137634	40.10256076693597	[ 861.30251297 -204.80652605]	[313.08683268 278.37961833]	[352.77734375 200.4002889 ]
71.20879120879121	1	False	41.44490113066042	62.46719734333166	40.131369637420555	[ 861.0838228  -205.06607296]	[312.97106934 278.56665039]	[353.44319661 201.03354899]
71.26873126873126	1	False	None	None	40.11610252478964	[ 861.19973279 -204.92854111]	None	None
71.32867132867132	1	False	41.37348566322103	61.35907964611567	40.0450734604476	[ 861.73851301 -204.28827888]	[312.7820638  278.87388102]	[354.73063151 202.16436768]
71.38861138861138	1	False	41.35318659656577	60.818251528574606	40.01235405007602	[ 861.98643403 -203.99311865]	[312.78603109 279.03873698]	[355.43151855 202.77294922]
71.44855144855144	1	False	41.27573324811176	60.30322964757728	39.924709555035506	[ 862.64970168 -203.2017848 ]	[312.60770671 279.25376383]	[355.91202799 203.41731771]
71.5084915084915	1	False	41.29986073726808	59.822924267196264	39.93879840697355	[ 862.54316307 -203.32906013]	[312.57987467 279.46716309]	[356.49894206 204.02907308]
71.56843156843156	1	False	41.21775760317409	59.21837398171894	39.83446079861104	[ 863.33141181 -202.38587805]	[312.54095459 279.74143473]	[357.25256348 204.77166748]
71.62837162837162	1	False	41.189678839981106	58.6551451785725	39.79762436824303	[ 863.60929289 -202.05254464]	[312.41001383 279.95597331]	[357.88944499 205.37434896]
71.68831168831169	1	False	41.15930045766893	58.00162935121396	39.751981661850046	[ 863.95330806 -201.63927539]	[312.36816406 280.19108073]	[358.73221842 206.07305908]
71.74825174825175	1	False	41.130380469811804	57.514852402290146	39.71131353680064	[ 864.25955171 -201.27081743]	[312.28826904 280.40610758]	[359.24715169 206.73602295]
71.80819180819181	1	False	41.06730374675709	57.00578086555929	39.63764460509058	[ 864.81363544 -200.60281515]	[312.08758545 280.66245524]	[359.59647624 207.56976318]
71.86813186813187	1	False	41.03863268939528	56.380044689623624	39.59598829877701	[ 865.12656337 -200.22477623]	[311.85902913 281.02567546]	[360.23543294 208.34698486]
71.92807192807193	1	False	40.98517756594701	55.73114555346883	39.53661702305269	[ 865.57209338 -199.68557759]	[311.62359619 281.25054932]	[360.73710124 209.24503581]
71.98801198801199	1	False	40.889771038816924	55.136519593188105	39.437336439248895	[ 866.3158591  -198.78289967]	[311.27699788 281.48215739]	[361.14717611 209.97214762]
72.04795204795204	1	False	40.865101992856026	54.41678051928867	39.419164834653174	[ 866.45182323 -198.61754053]	[310.84120687 281.72428385]	[361.6151123  210.83229574]
72.1078921078921	1	False	40.84650866108712	53.81370353904493	39.40887517362787	[ 866.52878959 -198.52388688]	[310.4514974  281.90631104]	[361.92529297 211.61124674]
72.16783216783216	1	False	40.747585066953015	53.09581709254955	39.317758033873574	[ 867.20960883 -197.6939612 ]	[309.95084635 282.08003743]	[362.25716146 212.49326579]
72.22777222777222	1	False	40.72352250481898	52.371098694940244	39.30601318122433	[ 867.29726928 -197.58690638]	[309.49031576 282.25150553]	[362.6928304  213.30476888]
72.28771228771228	1	False	40.69853072636216	51.425794234764396	39.2876392109953	[ 867.43436367 -197.41939083]	[309.06964111 282.47542318]	[363.33076986 214.50435384]
72.34765234765234	1	False	40.68169579247323	50.677541537295085	39.293817677150685	[ 867.38827004 -197.47572483]	[308.45399984 282.62327067]	[363.58048503 215.38722738]
72.4075924075924	1	False	40.60821842510972	49.84360499696597	39.231309076227696	[ 867.85432692 -196.90555492]	[307.88423665 282.83721924]	[363.91072591 216.49576823]
72.46753246753246	1	False	40.597695043425034	49.10739713396159	39.25246704482634	[ 867.6966452  -197.09860348]	[307.27412923 282.8534139 ]	[364.08736165 217.30688477]
72.52747252747253	1	False	40.596761455004135	48.314178970850456	39.27435760845982	[ 867.53342874 -197.29827504]	[306.73116048 282.96313477]	[364.54345703 218.09954834]
72.58741258741259	1	False	40.627481321867506	47.739707474302236	39.33350175990539	[ 867.09206743 -197.83743774]	[306.23490397 282.99220785]	[364.57963053 218.83732096]
72.64735264735265	1	False	40.60692936496546	47.00020171388913	39.33684973473642	[ 867.06706663 -197.86794451]	[305.78293864 282.97871908]	[364.95222982 219.57985433]
72.70729270729271	1	False	40.65585705595999	46.40014150462593	39.4202872331678	[ 866.44342671 -198.62775545]	[305.24090576 282.98014323]	[365.08532715 220.18863932]
72.76723276723277	1	False	40.579622930415525	45.79213252133747	39.361362518201766	[ 866.88396464 -198.09126066]	[304.74576823 283.02296956]	[365.17659505 220.94799805]
72.82717282717282	1	False	40.643004757376126	45.05600503027652	39.46282299156301	[ 866.1250745  -199.01475118]	[304.206014   282.98933919]	[365.40116374 221.72330729]
72.88711288711288	1	False	40.64066208544579	44.534472313699496	39.50171343211668	[ 865.83375374 -199.36837443]	[303.61806234 282.85028076]	[365.40506999 222.10713704]
72.94705294705294	1	False	40.67201831227955	44.00657270501186	39.568239686976064	[ 865.33486222 -199.97282608]	[303.07059733 282.82155355]	[365.36140951 222.70107015]
73.006993006993	1	False	40.7150469621312	43.447415205680066	39.665659092251836	[ 864.6030322  -200.85692397]	[302.39440918 282.62329102]	[365.19657389 223.18149821]
73.06693306693306	1	False	40.75896603172543	42.973147814958644	39.76370870925618	[ 863.86495117 -201.74548342]	[301.67244466 282.47062174]	[365.01920573 223.49926758]
73.12687312687312	1	False	40.7597300310068	42.459184451701574	39.81219569391628	[ 863.49939755 -202.18442214]	[300.97399902 282.33146159]	[364.8486735  223.92883301]
73.18681318681318	1	False	40.76464102589163	41.937483393363344	39.86455839125625	[ 863.1042071  -202.65809895]	[300.33138021 282.15488688]	[364.63891602 224.42215983]
73.24675324675324	1	False	40.744228583130976	41.32220430270752	39.89580360161481	[ 862.86818785 -202.9405733 ]	[299.59010824 281.95835368]	[364.54382324 224.89259847]
73.3066933066933	1	False	40.76268666998602	40.88301611904501	39.97910660292399	[ 862.23818338 -203.69305004]	[298.72452799 281.72467041]	[364.18359375 225.09761556]
73.36663336663337	1	False	40.68162657840311	40.273110877124886	39.96117973747844	[ 862.37385317 -203.53119387]	[297.85894775 281.36012777]	[363.89485677 225.4512736 ]
73.42657342657343	1	False	40.61789675252551	39.86620706496345	39.957515996187375	[ 862.40157398 -203.49810985]	[297.0008138  281.06282552]	[363.35314941 225.68983968]
73.48651348651349	1	False	40.58600692653688	39.3585752987003	40.001692070653405	[ 862.0671854  -203.89690686]	[295.93127441 280.74806722]	[362.66373698 226.05301921]
73.54645354645355	1	False	40.5152403459788	38.76455165683323	40.014368368623465	[ 861.97117603 -204.01129381]	[294.80411784 280.30442301]	[362.05236816 226.34183757]
73.6063936063936	1	False	40.51815467628135	38.25177212619356	40.10697764122963	[ 861.26899264 -204.846326  ]	[293.71917725 279.84613037]	[361.43916829 226.49375407]
73.66633366633366	1	False	40.426172696995565	37.767312130742795	40.10120129932389	[ 861.31282956 -204.79427552]	[292.59008789 279.32391357]	[360.70227051 226.58931478]
73.72627372627372	1	False	40.333780718274674	37.34413089134707	40.10319602799047	[ 861.29769207 -204.81225048]	[291.40631104 278.71883138]	[359.82198079 226.55249023]
73.78621378621378	1	False	40.214015785031805	36.8911308236433	40.07523115482043	[ 861.50985334 -204.56020458]	[290.28436279 278.05389404]	[359.03641764 226.48510742]
73.84615384615384	1	False	40.17954096819563	36.27676350874628	40.12001980595326	[ 861.16999575 -204.96383238]	[289.39994303 277.52134196]	[358.59672038 226.76861572]
73.9060939060939	1	False	40.055027980119064	35.7863630095731	40.0735953077044	[ 861.52226022 -204.54545757]	[288.44156901 276.91845703]	[358.03767904 226.78281657]
73.96603396603396	1	False	39.959277171233325	34.99979607894414	40.04490088160838	[ 861.73982111 -204.28672243]	[287.66760254 276.37681071]	[357.90795898 227.22676595]
